FirstName;LastName;Post;Course;Group
Набадчиков;Федор;Dean;5;508
Чазова;Ариадна;Student;1;101
Еремеева;Екатерина;Student;1;101
Панков;Харитон;Dean;5;508
Яхлаков;Герман;Student;1;101
Соколова;Злата;Professor;3;304
Челомеев;Герман;Dean;5;507
Богомазова;Христина;Lecturer;2;203
Яблонцева;Злата;Student;1;100
Фомичёва;Лилия;Academic;4;406
Селидов;Самуил;Student;1;100
Кушкина;Ираида;Academic;4;407
Толбаева;Наталия;Student;1;100
Янушко;Фома;Professor;3;304
Чапаев;Эммануил;Academic;4;405
Хорошилов;Иннокентий;Lecturer;2;202
Алексахин;Леонид;Student;1;100
Староволков;Борислав;Student;1;101
Гущин;Валерьян;Student;1;100
Аводкова;Людмила;Student;1;100
Дроздов;Макар;Lecturer;2;202
Легкодимова;Мария;Academic;4;406
Грязнов;Василий;Academic;4;406
Шипицына;Ника;Professor;3;304
Курбатова;Пелагея;Student;1;101
Баязова;Вера;Professor;3;305
Смирнов;Всеслав;Lecturer;2;203
Веденина;Наталья;Lecturer;2;202
Булыгина;Ефросиния;Student;1;101
Пенкин;Кондрат;Professor;3;304
Валиева;Влада;Academic;4;406
Кугушев;Максимильян;Academic;4;405
Курбатова;Таисия;Professor;3;304
Ионов;Геннадий;Professor;3;304
Хемлин;Савелий;Dean;5;508
Арзамасцева;Арина;Student;1;100
Ягафаров;Терентий;Dean;5;507
Гуськова;Христина;Student;1;101
Бесфамильный;Эммануил;Student;1;101
Соловаьева;Розалия;Dean;5;508
Шимякин;Лаврентий;Student;1;101
Феднов;Агафон;Professor;3;305
Бичурин;Ефрем;Dean;5;508
Халимдаров;Кондратий;Professor;3;304
Алиев;Михей;Lecturer;2;203
Якушин;Назар;Student;1;101
Лашкина;Кристина;Student;1;100
Николенко;Терентий;Professor;3;305
Грибалев;Гаврила;Student;1;101
Колотушкин;Роман;Lecturer;2;203
Саввин;Савелий;Academic;4;406
Шверника;Агафья;Lecturer;2;203
Кононова;Ефросиния;Professor;3;305
Гика;Вера;Professor;3;304
Орел;Сергей;Professor;3;303
Купревича;Элеонора;Lecturer;2;201
Красоткина;Надежда;Professor;3;304
Бузыцкова;Маргарита;Academic;4;406
Минеева;Агния;Academic;4;407
Трутнева;Анастасия;Academic;4;405
Молодцова;Антонина;Student;1;101
Мальцов;Алексей;Professor;3;305
Жаркин;Лукьян;Lecturer;2;202
Мухоморов;Тимур;Academic;4;405
Мясникова;Валерия;Student;1;100
Алехина;Тамара;Lecturer;2;203
Жикина;Анфиса;Lecturer;2;202
Лазарева;Доминика;Professor;3;304
Нырцева;Зинаида;Professor;3;304
Лашкина;Ираида;Professor;3;305
Капылюшный;Лиана;Professor;3;303
Делов;Макар;Dean;5;507
Павлова;Римма;Dean;5;508
Щедрин;Никанор;Student;1;101
Яглинцева;Раиса;Dean;5;507
Легкодимова;Ника;Academic;4;406
Хомичева;Варвара;Academic;4;406
Бабурин;Родион;Student;1;101
Зинченко;Агап;Student;1;101
Царёва;Роза;Dean;5;508
Квартирова;Раиса;Professor;3;304
Авдеев;Терентий;Dean;5;507
Тимофеева;Людмила;Student;1;101
Яблонцев;Кондратий;Dean;5;507
Раскатов;Константин;Academic;4;406
Лобан;Андриян;Lecturer;2;202
Царёва;Евгения;Student;1;100
Яровый;Изяслав;Dean;5;508
Сонина;Христина;Student;1;100
Дарбиняна;Раиса;Academic;4;406
Шишкарёв;Михаил;Professor;3;305
Комягин;Порфирий;Student;1;101
Каналина;Берта;Professor;3;303
Страхова;Лилия;Professor;3;305
Яндиева;Ева;Dean;5;507
Разбойникова;Нона;Academic;4;405
Колдаев;Никита;Lecturer;2;202
Пищиков;Егор;Lecturer;2;203
Чекудаев;Порфирий;Professor;3;304
Тотенков;Архип;Dean;5;508
Черникова;Ефросиния;Dean;5;507
Казаньков;Моисей;Professor;3;304
Мельникова;Оксана;Student;1;100
Леонидова;Ульяна;Professor;3;305
Козырева;Оксана;Dean;5;508
Кружкова;Екатерина;Dean;5;507
Базарова;Христина;Lecturer;2;203
Балановский;Варфоломей;Professor;3;304
Ханыков;﻿Август;Academic;4;406
Жеглов;Вадим;Academic;4;405
Явид;Гаврила;Professor;3;304
Шипицына;Яна;Lecturer;2;203
Ярный;Ольга;Professor;3;304
Букирь;Капитон;Dean;5;507
Ярыкина;Алина;Student;1;100
Бруевич;Моисей;Lecturer;2;202
Вавилова;Римма;Professor;3;303
Сазонтов;Андрон;Professor;3;303
Качусова;Инесса;Dean;5;507
Оленева;Яна;Academic;4;406
Янков;Варфоломей;Lecturer;2;202
Сластникова;Евдокия;Lecturer;2;202
Пономарёв;Григорий;Professor;3;303
Кабаева;Екатерина;Academic;4;407
Пашков;Федот;Student;1;100
Клинских;Варфоломей;Lecturer;2;202
Феднов;Лука;Professor;3;304
Арсеньев;Виссарион;Lecturer;2;203
Климушин;Терентий;Lecturer;2;202
Коллерова;Тамара;Student;1;101
Булкина;Александра;Professor;3;304
Янченко;Валерий;Lecturer;2;203
Колосова;Анна;Academic;4;405
Колпачёв;Остап;Student;1;101
Ларичев;Артемий;Student;1;101
Сизый;Мефодий;Student;1;100
Ягода;Арсений;Academic;4;406
Жиров;Борислав;Professor;3;305
Полунина;Алина;Dean;5;507
Грызунов;Кир;Dean;5;508
Разин;Эрнст;Dean;5;508
Кудрявцева;Галина;Professor;3;305
Завражина;Алиса;Lecturer;2;202
Домышев;Федот;Professor;3;303
Конно;Наталия;Lecturer;2;202
Горева;Людмила;Lecturer;2;201
Акимова;Аза;Academic;4;405
Юрнаев;Богдан;Professor;3;305
Эмскиха;Ника;Professor;3;304
Холопов;Карл;Professor;3;304
Крюков;Олег;Lecturer;2;201
Кошельков;Валерий;Dean;5;508
Винокурова;Ева;Professor;3;304
Мартюшова;Яна;Dean;5;507
Крайнева;Александра;Academic;4;406
Язькова;Инесса;Professor;3;304
Стукалов;Елизар;Student;1;100
Рассказова;Любава;Lecturer;2;202
Трибой;Ефрем;Professor;3;304
Большова;Мария;Academic;4;405
Квартиров;Станислав;Lecturer;2;203
Бикулова;Наталья;Student;1;100
Ястребова;Любовь;Student;1;101
Потрепалов;Аскольд;Professor;3;304
Лассмана;﻿Агата;Lecturer;2;201
Жичкина;Инесса;Student;1;101
Хлебов;Борислав;Academic;4;406
Анреп;Руслан;Lecturer;2;202
Бильбасова;Марина;Academic;4;406
Шишов;Максимильян;Student;1;100
Букавицкий;Яков;Professor;3;305
Золотова;Софья;Dean;5;507
Зайцева;Марина;Professor;3;304
Одинцова;Варвара;Dean;5;508
Полухина;Антонина;Academic;4;406
Ширяева;Лиана;Academic;4;406
Баскаков;Пахом;Dean;5;508
Низов;Максим;Student;1;100
Арсеньева;Клара;Professor;3;304
Аникин;Пахом;Dean;5;507
Яндашевский;Евграф;Academic;4;405
Крайнов;Кондратий;Dean;5;508
Игошина;Юлия;Dean;5;507
Чайка;Нона;Academic;4;407
Гретченко;Фока;Dean;5;508
Веточкина;Ангелина;Professor;3;304
Карандашова;Алина;Dean;5;507
Селезнева;Инесса;Dean;5;507
Завразин;Авдей;Professor;3;304
Бакаринцев;Елизар;Academic;4;405
Бильбасова;Марина;Dean;5;508
Яшихин;Рюрик;Professor;3;304
Лисицын;Ипполит;Student;1;100
Пивоварова;Роза;Lecturer;2;202
Снеткова;Татьяна;Professor;3;305
Палванова;Ираида;Dean;5;508
Канадина;Ефросиния;Professor;3;303
Державина;Роза;Dean;5;507
Романенко;Стела;Lecturer;2;201
Фирсов;Измаил;Student;1;101
Шурдукова;Арина;Professor;3;304
Ледовской;Вацлав;Lecturer;2;203
Дугин;Евсей;Dean;5;508
Харькова;Василиса;Professor;3;304
Богомолов;Арсений;Dean;5;508
Ядова;Роза;Professor;3;303
Яльцева;Ариадна;Lecturer;2;203
Плахтюрина;Роза;Professor;3;305
Вихорев;Артур;Student;1;100
Балунова;Изольда;Dean;5;508
Волкова;Доминика;Professor;3;305
Люба;Самсон;Student;1;100
Веденеева;Инга;Academic;4;406
Якубенко;Ираклий;Academic;4;406
Мизенова;Екатерина;Student;1;100
Моргунова;Таисия;Professor;3;303
Страхов;Виталий;Student;1;101
Брантов;Глеб;Lecturer;2;203
Яковченко;Сократ;Professor;3;304
Кузиева;Елена;Academic;4;405
Кошелева;Рената;Lecturer;2;202
Ешевский;Емельян;Dean;5;508
Яцкевич;Эдуард;Academic;4;407
Машарин;Александр;Student;1;100
Янькова;Инесса;Student;1;100
Килиса;Вероника;Student;1;100
Конно;Лидия;Academic;4;406
Дубков;Макар;Lecturer;2;202
Созонов;Аким;Lecturer;2;203
Перешивкин;Тимур;Dean;5;507
Тимашёв;Прокофий;Lecturer;2;202
Касьянов;Родион;Student;1;101
Батрутдинов;Тимур;Dean;5;507
Кривкова;Зоя;Professor;3;303
Кадцына;Маргарита;Lecturer;2;203
Насонова;Ольга;Lecturer;2;202
Евлентьев;Клавдий;Dean;5;508
Рунов;Сократ;Lecturer;2;203
Едемский;Алексей;Dean;5;507
Харитонюк;Всеслав;Professor;3;305
Ялунин;Евсей;Student;1;101
Кидирбаева;Римма;Lecturer;2;202
Шихранова;Алиса;Academic;4;407
Краев;Чеслав;Professor;3;305
Цаплина;Зинаида;Student;1;100
Доронин;Прокофий;Dean;5;508
Чернышёва;Нона;Academic;4;406
Безрукова;Бронислава;Lecturer;2;202
Головин;Данила;Student;1;101
Бухарин;Станислав;Student;1;101
Лужкова;Ярослава;Academic;4;406
Голубева;Владлена;Student;1;100
Пырьев;Кирилл;Lecturer;2;203
Есиков;Евдоким;Professor;3;304
Казанькова;Жанна;Dean;5;507
Жолдина;Евгения;Professor;3;304
Экономова;Анисья;Professor;3;304
Блаженнов;Святослав;Dean;5;507
Топоркова;Эльвира;Professor;3;304
Кабицин;Константин;Dean;5;507
Щепетинникова;Марфа;Academic;4;405
Браило;Измаил;Student;1;100
Пьянкова;Бронислава;Lecturer;2;201
Гончарова;Майя;Student;1;101
Багрова;﻿Агата;Academic;4;405
Данилов;Арсений;Professor;3;303
Коваль;Вацлав;Lecturer;2;202
Левина;Раиса;Lecturer;2;202
Ожогина;Ангелина;Professor;3;303
Суханова;Ева;Academic;4;406
Буркова;Алина;Professor;3;304
Уттеркло;Самуил;Dean;5;507
Сайтахметова;Светлана;Professor;3;304
Чичеринова;Марина;Dean;5;508
Лачков;Лукьян;Professor;3;304
Порошин;Евгений;Dean;5;508
Лившица;Рада;Student;1;101
Бельтюкова;Варвара;Lecturer;2;202
Кузьмич;Назар;Dean;5;508
Голубкин;Владилен;Student;1;101
Барановский;Валентин;Lecturer;2;202
Белочкина;Фаина;Professor;3;304
Котяша;Элеонора;Student;1;100
Яковцова;Лада;Lecturer;2;201
Веденеева;Доминика;Student;1;100
Дворецков;Михаил;Lecturer;2;202
Ивашкин;Александр;Academic;4;407
Проскуркина;Эмилия;Lecturer;2;202
Килиц;Василий;Professor;3;304
Голодяев;Родион;Dean;5;507
Царёва;Нона;Academic;4;406
Поникаров;Андрей;Student;1;100
Чупров;Платон;Dean;5;508
Ягафарова;Агафья;Dean;5;508
Жарикова;Юнона;Dean;5;508
Янин;Рюрик;Student;1;100
Державин;Мартын;Student;1;100
Журавлев;Петр;Professor;3;305
Сушилова;Ева;Dean;5;508
Нефёдов;Измаил;Academic;4;405
Кулигина;Ираида;Academic;4;406
Ковалёв;Платон;Professor;3;304
Каретников;Мирон;Dean;5;507
Характерова;Ксения;Professor;3;303
Николенко;Антип;Academic;4;406
Перова;Яна;Dean;5;508
Подкользина;Лилия;Professor;3;304
Кобелева;Евгения;Lecturer;2;203
Уттеркло;Всеволод;Student;1;100
Крахмалев;Юрий;Dean;5;508
Дрокова;Виктория;Lecturer;2;203
Арзамасцев;Иннокентий;Lecturer;2;202
Лукина;Агафья;Dean;5;507
Марков;Кирилл;Lecturer;2;202
Махмудова;Фаина;Professor;3;304
Дубровский;Аскольд;Student;1;101
Индик;Филипп;Dean;5;508
Чигракова;Таисия;Dean;5;508
Лепёхина;Ангелина;Student;1;101
Есаулова;Рада;Lecturer;2;203
Шерстова;Наталья;Academic;4;405
Головнин;Карл;Dean;5;508
Яндукина;Эвелина;Academic;4;406
Янушкене;Демьян;Professor;3;305
Вердеревский;Давид;Student;1;100
Рыжкова;Тамара;Lecturer;2;203
Старцев;Ян;Dean;5;508
